Individual,PC,score
3896,2,-0.41
3896,3,-0.21
3897,1,0.08
3897,2,0.66
3897,3,-0.59
3898,1,-0.54
3898,2,0.13
3898,3,-0.18
3899,1,0.95
3899,2,-1.04
3899,3,-0.48
3900,1,0.79
3900,2,0.21
3900,3,0.04
3902,1,-0.06
3902,2,-0.18
3902,3,0.15
3903,1,0.03
3903,2,-0.23
3903,3,0.08
3905,1,-0.11
3905,2,-0.06
3905,3,0.2
3906,1,-0.19
3906,2,-0.59
3906,3,0.07
3907,1,-0.1
3907,2,-0.02
3907,3,-0.01
3909,1,-0.5
3909,2,2.45
3909,3,0.53
3910,1,-0.35
3910,2,0.31
3910,3,-0.34
3911,1,0.11
3911,2,-0.24
3911,3,0.28
3926,1,-0.87
3926,2,-0.31
3926,3,0.15
3927,1,-0.68
3927,2,-0.79
3927,3,-0.33
3928,1,-0.44
3928,2,-0.24
3928,3,0.71
3931,1,-0.75
3931,2,0.03
3931,3,0.05
3932,1,-0.1
3932,2,0.03
3932,3,0.02
3935,1,-0.25
3935,2,-0.34
3935,3,-0.13
3939,1,0.73
3939,2,-0.02
3939,3,-0.4
3940,1,0.56
3940,2,0.22
3940,3,0.39
3941,1,0.79
3941,2,-0.46
3941,3,-0.18
3942,1,0.53
3942,2,-1.29
3942,3,1.3
3943,1,0.03
3943,2,0.38
3943,3,0.28
3947,1,-0.04
3947,2,-0.08
3947,3,0.49
3954,1,-1.51
3954,2,0.03
3954,3,0.14
3961,1,1.03
3961,2,0.26
3961,3,-0.17
3962,1,-1.24
3962,2,-0.13
3962,3,-0.51
3963,1,0.13
3963,2,0.47
3963,3,0.01
3968,1,1.38
3968,2,-0.09
3968,3,0.14
3975,1,-0.09
3975,2,-0.29
3975,3,-0.5
3977,1,-0.49
3977,2,0.32
3977,3,-0.32
3978,1,-0.59
3978,2,0.02
3978,3,0.02
3979,1,-1.37
3979,2,-0.32
3979,3,-0.02
3983,1,-1.14
3983,2,-0.34
3983,3,0.05
3984,1,-0.73
3984,2,-0.44
3984,3,0.46
3985,1,0.29
3985,2,0.44
3985,3,0.37
3986,1,-1.19
3986,2,-0.14
3986,3,-0.21
3987,1,-1.6
3987,2,0.52
3987,3,0.53
3991,1,1.2
3991,2,-0.16
3991,3,0.15
3996,1,0.12
3996,2,0.62
3996,3,0.29
3998,1,0.72
3998,2,0.08
3998,3,0.11
3999,1,-0.71
3999,2,0
3999,3,-0.34
4002,1,-1.75
4002,2,0.32
4002,3,-0.36
4006,1,0.78
4006,2,-0.99
4006,3,0.1
4009,1,-0.17
4009,2,-0.34
4009,3,-0.19
4011,1,-0.18
4011,2,-1.14
4011,3,0.47
4012,1,-0.19
4012,2,0.84
4012,3,0.53
4014,1,-0.73
4014,2,0.25
4014,3,0.05
4015,1,-0.32
4015,2,-0.08
4015,3,-0.29
4016,1,0.08
4016,2,-0.16
4016,3,0.09
4018,1,-0.51
4018,2,0.33
4018,3,0.18
4019,1,0.11
4019,2,1.64
4019,3,0.2
4023,1,0.06
4023,2,1.12
4023,3,0.28
4025,1,-1.01
4025,2,0.19
4025,3,-0.5
4032,1,0.21
4032,2,-0.57
4032,3,0.24
4035,1,-0.22
4035,2,-0.35
4035,3,0.64
4044,1,0.11
4044,2,0.99
4044,3,0.23
4045,1,-0.02
4045,2,-0.04
4045,3,0.16
4047,1,-1.02
4047,2,-1.11
4047,3,0.94
4048,1,-0.29
4048,2,-1.14
4048,3,0.34
4051,1,-0.28
4051,2,0.33
4051,3,0.23
4052,1,0.28
4052,2,0.9
4052,3,0.11
4058,1,-0.58
4058,2,-0.92
4058,3,0.25
4059,1,0.34
4059,2,0.22
4059,3,0.93
4063,1,-1.4
4063,2,0.7
4063,3,0.34
4064,1,-0.54
4064,2,1.41
4064,3,-0.37
4070,1,-0.38
4070,2,1.46
4070,3,0.89
4071,1,0.29
4071,2,-0.6
4071,3,-0.38
4073,1,1.05
4073,2,-0.17
4073,3,0.37
4074,1,0.44
4074,2,-0.13
4074,3,0.56
4080,1,-0.52
4080,2,0.51
4080,3,-0.49
4081,1,-0.37
4081,2,-0.3
4081,3,-0.56
4082,1,-1.19
4082,2,0.43
4082,3,-0.21
4083,1,0.18
4083,2,0.1
4083,3,-0.48
4087,1,-0.65
4087,2,0.26
4087,3,0.18
4088,1,-0.64
4088,2,1.11
4088,3,0.73
4089,1,0.42
4089,2,0.98
4089,3,0.58
4090,1,-0.13
4090,2,0.84
4090,3,0.77
4091,1,0.9
4091,2,0.12
4091,3,0.2
4097,1,0.08
4097,2,-0.53
4097,3,-0.94
4099,1,0.84
4099,2,-1.27
4099,3,-0.44
4108,1,-0.62
4108,2,-0.57
4108,3,-0.03
4109,1,-0.16
4109,2,-1.03
4109,3,0.47
4110,1,-0.52
4110,2,0.29
4110,3,0.24
4111,1,0.17
4111,2,0.36
4111,3,1.21
4112,1,0.2
4112,2,-0.42
4112,3,0.14
4113,1,-0.7
4113,2,0.16
4113,3,-0.1
4114,1,-0.73
4114,2,-0.47
4114,3,-0.18
4115,1,-0.35
4115,2,0.18
4115,3,0.72
4119,1,-0.24
4119,2,-0.19
4119,3,-0.04
4126,1,-0.81
4126,2,-0.83
4126,3,-0.47
4129,1,0.48
4129,2,0.13
4129,3,-0.15
4136,1,-0.01
4136,2,-0.22
4136,3,0.06
4137,1,-1.04
4137,2,-0.16
4137,3,-0.48
4139,1,-0.21
4139,2,-0.18
4139,3,1.06
4145,1,0.6
4145,2,0.48
4145,3,-0.38
4146,1,0.99
4146,2,0.13
4146,3,0.48
4147,1,1.16
4147,2,1.17
4147,3,0.04
4148,1,1.1
4148,2,0.41
4148,3,-0.19
4150,1,0.5
4150,2,0.02
4150,3,-0.69
4151,1,-0.08
4151,2,-0.01
4151,3,-0.76
4152,1,-0.21
4152,2,0.89
4152,3,0.43
4153,1,-0.06
4153,2,1.34
4153,3,-0.22
4155,1,-0.17
4155,2,0.4
4155,3,0.47
4157,1,0.55
4157,2,-1.19
4157,3,0.38
4159,1,1.12
4159,2,1.45
4159,3,0.37
4160,1,-0.85
4160,2,-0.6
4160,3,0.38
4162,1,0.52
4162,2,-0.08
4162,3,0.27
4165,1,-0.52
4165,2,0.95
4165,3,-0.02
4167,1,-1.03
4167,2,0.74
4167,3,-0.18
4177,1,-0.14
4177,2,0.51
4177,3,0.26
4189,1,-1.62
4189,2,0.48
4189,3,0.34
4190,1,1.22
4190,2,0.28
4190,3,-0.31
4191,1,1.07
4191,2,-0.52
4191,3,0.07
4192,1,0.35
4192,2,-0.16
4192,3,0.02
4193,1,-0.31
4193,2,-0.69
4193,3,0.76
4196,1,-0.58
4196,2,0.14
4196,3,0.3
4197,1,-1.45
4197,2,-0.82
4197,3,0.09
4198,1,-0.26
4198,2,-1.69
4198,3,1.05
4200,1,-0.4
4200,2,-1.25
4200,3,-0.17
4201,1,-0.17
4201,2,-1.72
4201,3,0.56
4203,1,-0.18
4203,2,0.91
4203,3,-0.92
4204,1,-0.46
4204,2,-0.05
4204,3,-0.85
4205,1,-1.2
4205,2,-0.49
4205,3,0.19
4206,1,0.6
4206,2,-0.38
4206,3,0.13
4207,1,-0.34
4207,2,-1.34
4207,3,-0.23
4208,1,0.3
4208,2,-0.1
4208,3,-0.72
4213,1,0.82
4213,2,0.57
4213,3,0.1
4214,1,0.47
4214,2,1.66
4214,3,0.22
4215,1,-0.73
4215,2,-0.54
4215,3,0.52
4217,1,0.03
4217,2,0.04
4217,3,0.97
4222,1,0.07
4222,2,-1.41
4222,3,-0.08
4224,1,0.32
4224,2,0.57
4224,3,-0.12
4225,1,-0.59
4225,2,0.88
4225,3,-0.17
4226,1,-0.01
4226,2,-0.22
4226,3,0.26
4231,1,-0.46
4231,2,-0.06
4231,3,-0.08
4235,1,-1.04
4235,2,-0.92
4235,3,0.56
4237,1,0.3
4237,2,0.63
4237,3,-0.57
4240,1,0.77
4240,2,0.94
4240,3,-0.21
4248,1,0.35
4248,2,1.5
4248,3,-0.09
4249,1,-0.27
4249,2,-1.17
4249,3,0.18
4250,1,-0.18
4250,2,-1.16
4250,3,0.3
4258,1,-0.9
4258,2,-0.67
4258,3,0.14
4259,1,0.16
4259,2,0.72
4259,3,-0.47
4261,1,-0.54
4261,2,-0.47
4261,3,-0.42
4277,1,-1.56
4277,2,-0.49
4277,3,-0.2
4278,1,-0.26
4278,2,0.55
4278,3,-0
4279,1,-1.53
4279,2,-1.48
4279,3,-0.06
4280,1,-0.32
4280,2,-0.09
4280,3,0.61
4281,1,0.58
4281,2,-0.02
4281,3,-0.53
4284,1,0.61
4284,2,-0.21
4284,3,0.13
4285,1,-0.32
4285,2,-0.44
4285,3,0.34
4286,1,0.1
4286,2,1.6
4286,3,0.12
4288,1,0.11
4288,2,-0.37
4288,3,-0.44
4289,1,-0.99
4289,2,1.45
4289,3,1.25
4290,1,0.35
4290,2,0.21
4290,3,-0
4293,1,-0.87
4293,2,0.45
4293,3,-0.44
4294,1,0.08
4294,2,-0.26
4294,3,-0.44
4295,1,-0.56
4295,2,-0.34
4295,3,0.1
4299,1,0.93
4299,2,0.16
4299,3,0.81
4301,1,0.28
4301,2,0.04
4301,3,0.06
4307,1,0.1
4307,2,0.41
4307,3,-0.53
4312,1,-0.19
4312,2,-0.36
4312,3,-0.22
4313,1,-0.78
4313,2,0.2
4313,3,0.26
4314,1,0.11
4314,2,0.07
4314,3,0.38
4315,1,-0.93
4315,2,-0.19
4315,3,-0.05
4317,1,0.16
4317,2,-0.81
4317,3,-0.27
4318,1,-1.07
4318,2,0.55
4318,3,0.28
4319,1,0.04
4319,2,0.78
4319,3,-0.08
4320,1,-0.58
4320,2,-0.01
4320,3,-0.56
4321,1,-0.08
4321,2,0.32
4321,3,-0.19
4325,1,-0.85
4325,2,-0.63
4325,3,-0.24
4333,1,0.15
4333,2,0.23
4333,3,-0.7
4334,1,-0.11
4334,2,-0.31
4334,3,0.23
4339,1,0.54
4339,2,0.03
4339,3,0.01
4341,1,-0.2
4341,2,0.16
4341,3,-0.02
4342,1,-1.12
4342,2,-0.58
4342,3,0.27
4343,1,-0.59
4343,2,0.55
4343,3,-0.05
4344,1,-0.7
4344,2,-0.59
4344,3,0.6
4349,1,-0.17
4349,2,-1
4349,3,1.22
4350,1,0.44
4350,2,-0.34
4350,3,-0.25
4351,1,0.49
4351,2,-0.92
4351,3,-0.38
4352,1,0.19
4352,2,-0.38
4352,3,0.14
4353,1,1.4
4353,2,0.11
4353,3,-0.7
4363,1,-0.42
4363,2,-0.05
4363,3,-0.82
4364,1,0.27
4364,2,1.37
4364,3,-0.37
4365,1,0.37
4365,2,0.58
4365,3,-0.04
4366,1,0.69
4366,2,-0.13
4366,3,-0.86
4369,1,-0.07
4369,2,-0.4
4369,3,0
4370,1,0.03
4370,2,0.13
4370,3,-0.18
4377,1,0.01
4377,2,0.2
4377,3,0.2
4379,1,-0.62
4379,2,-0.87
4379,3,-0.65
4380,1,-0.3
4380,2,-0.12
4380,3,-0.05
4381,1,0.34
4381,2,-0.53
4381,3,-0.28
4382,1,-0.15
4382,2,1.07
4382,3,0.17
4396,1,0.19
4396,2,0.62
4396,3,-0.53
4402,1,0.92
4402,2,-0.79
4402,3,0.09
4404,1,-1.46
4404,2,1.53
4404,3,-0.19
4406,1,-1.13
4406,2,-0.33
4406,3,-0.35
4407,1,0.05
4407,2,0.71
4407,3,0.48
4409,1,-0.5
4409,2,0.15
4409,3,-0.08
4412,1,0.87
4412,2,-0.54
4412,3,-0.25
4415,1,0.1
4415,2,-0.13
4415,3,0.4
4416,1,0.15
4416,2,-0.54
4416,3,0.06
4417,1,0.09
4417,2,0.57
4417,3,0.87
4420,1,0.03
4420,2,0.33
4420,3,-0.19
4422,1,-0.99
4422,2,-0.01
4422,3,0.17
4423,1,0.18
4423,2,1.16
4423,3,0.4
4424,1,0.25
4424,2,0.93
4424,3,-0.52
4425,1,-0.19
4425,2,1.62
4425,3,-0.41
4428,1,-0.27
4428,2,-0.89
4428,3,0.19
4429,1,1.67
4429,2,0.75
4429,3,-0.16
4431,1,-0.87
4431,2,0.74
4431,3,-0.19
4434,1,1.33
4434,2,1.56
4434,3,-0.02
4435,1,-0
4435,2,1.08
4435,3,0.29
4436,1,0.66
4436,2,0.39
4436,3,-0.26
4438,1,-0.66
4438,2,0.17
4438,3,0.6
4440,1,-0.56
4440,2,-0.25
4440,3,0.37
4443,1,0.53
4443,2,0.66
4443,3,-0.18
4444,1,1.06
4444,2,0.85
4444,3,0.13
4445,1,-0.94
4445,2,-0.6
4445,3,0.77
4456,1,0.39
4456,2,1.07
4456,3,0.05
4457,1,-0.49
4457,2,-1.8
4457,3,0.46
4460,1,-0.05
4460,2,0.25
4460,3,-0.08
4471,1,-0.33
4471,2,-0.45
4471,3,-0.81
4473,1,-0.68
4473,2,0.08
4473,3,0.01
4474,1,0.22
4474,2,0.35
4474,3,0.22
4477,1,0.5
4477,2,0.37
4477,3,-0.67
4479,1,-0.41
4479,2,0.68
4479,3,-0.48
4483,1,0.61
4483,2,-0.85
4483,3,-0.59
4484,1,0.69
4484,2,-1.67
4484,3,0.26
4485,1,0.13
4485,2,0.01
4485,3,-0.27
4486,1,-1.26
4486,2,-0.11
4486,3,0.7
4492,1,0.16
4492,2,-0.75
4492,3,-0.08
4493,1,0.37
4493,2,1.01
4493,3,0.1
4495,1,-0.66
4495,2,-0.62
4495,3,0.47
4497,1,-0.22
4497,2,0.67
4497,3,0.06
4498,1,-0.5
4498,2,0.53
4498,3,0.08
4499,1,-1.01
4499,2,-0.46
4499,3,-0.35
4500,1,0.14
4500,2,-1.26
4500,3,-0.21
4502,1,0.35
4502,2,0.13
4502,3,-0.19
4505,1,-0.13
4505,2,0.84
4505,3,-0.05
4506,1,-0.84
4506,2,0.73
4506,3,-0.5
4507,1,-0.5
4507,2,0.3
4507,3,-0.16
4508,1,-1.02
4508,2,-0.02
4508,3,0.77
4509,1,1.26
4509,2,0.44
4509,3,-0.36
4510,1,-0.81
4510,2,0.18
4510,3,0.23
4511,1,-0.1
4511,2,0.52
4511,3,0.01
4513,1,-1
4513,2,-0.03
4513,3,-0.29
4514,1,-0.25
4514,2,0.23
4514,3,-0.71
4516,1,-0.29
4516,2,0.54
4516,3,0.35
4518,1,-0.29
4518,2,0.2
4518,3,0.59
4519,1,-0.35
4519,2,0.12
4519,3,-0.43
4520,1,0.55
4520,2,0.19
4520,3,-0.48
4521,1,0.15
4521,2,-0.15
4521,3,-0.11
4524,1,0.32
4524,2,-0.26
4524,3,0.08
4525,1,-0.09
4525,2,-1.03
4525,3,-0.48
4526,1,0.83
4526,2,-1.06
4526,3,-0.26
4527,1,0.94
4527,2,-1.89
4527,3,0.11
4528,1,0.38
4528,2,-0.46
4528,3,-0.42
4532,1,-0.66
4532,2,0.06
4532,3,0.07
4533,1,0.81
4533,2,-0.14
4533,3,0.17
4535,1,0.83
4535,2,0.44
4535,3,-0.32
4536,1,-0.45
4536,2,-0.62
4536,3,0.2
4538,1,-2.05
4538,2,0.25
4538,3,0.2
4546,1,0.22
4546,2,-0.51
4546,3,-0.12
4547,1,0.07
4547,2,-0.22
4547,3,0.05
4553,1,0.86
4553,2,-0.36
4553,3,-0.12
4554,1,-1.49
4554,2,-0.22
4554,3,-0.29
4555,1,-1.16
4555,2,-0.78
4555,3,0.75
4558,1,0.35
4558,2,1.57
4558,3,0.42
4570,1,0.21
4570,2,-0.72
4570,3,1.98
4572,1,-1.12
4572,2,0.56
4572,3,0.36
4573,1,-0.06
4573,2,0.57
4573,3,0.79
4575,1,0.69
4575,2,1.28
4575,3,0.87
4577,1,0.07
4577,2,1.36
4577,3,0.19
4578,1,0.62
4578,2,-0.62
4578,3,-0.09
4579,1,0.57
4579,2,-0.99
4579,3,0.31
4580,1,-0.98
4580,2,0.01
4580,3,0.07
4581,1,-0.68
4581,2,-1.28
4581,3,0.01
4582,1,-0.65
4582,2,-0.52
4582,3,0.42
4583,1,-0.3
4583,2,-0.54
4583,3,0.59
4584,1,0.16
4584,2,-0.48
4584,3,-0.78
4585,1,0.44
4585,2,-1.45
4585,3,0.47
4586,1,0.18
4586,2,-1.01
4586,3,-0.46
4593,1,1.29
4593,2,0.56
4593,3,-0.4
4594,1,0.76
4594,2,-1.33
4594,3,-0.05
4599,1,-0.09
4599,2,1.25
4599,3,0.06
4600,1,-0.11
4600,2,1.35
4600,3,-0.37
4601,1,-1.22
4601,2,-0.3
4601,3,-0.7
4604,1,-0.25
4604,2,0.28
4604,3,-0.18
4606,1,0.52
4606,2,0.18
4606,3,-0.72
4607,1,0.73
4607,2,0.65
4607,3,-0.65
4610,1,1.22
4610,2,0.34
4610,3,0.34
4611,1,0.53
4611,2,-0.41
4611,3,-0.16
4613,1,-0.75
4613,2,1.69
4613,3,0.67
4614,1,0.4
4614,2,0.05
4614,3,-0.04
4615,1,0.21
4615,2,0.7
4615,3,-0.02
4616,1,-0.8
4616,2,-0.34
4616,3,0.43
4617,1,0.66
4617,2,-0.74
4617,3,-0.26
4618,1,-0.02
4618,2,-1
4618,3,0.58
4628,1,0.14
4628,2,0.83
4628,3,0.45
4629,1,0.94
4629,2,1.5
4629,3,-0.02
4630,1,0.06
4630,2,0.29
4630,3,0
4631,1,0.15
4631,2,-0.17
4631,3,0.35
4632,1,0.2
4632,2,0.2
4632,3,-0.4
4633,1,-0.01
4633,2,0.24
4633,3,0.45
4637,1,0.7
4637,2,-0.54
4637,3,-0.34
4638,1,1.55
4638,2,-0.72
4638,3,-0.86
4639,1,0.86
4639,2,-0.76
4639,3,-0.72
4642,1,-0.38
4642,2,-0.29
4642,3,0.27
4643,1,-1.08
4643,2,-1.2
4643,3,0.06
4645,1,0.08
4645,2,-1.54
4645,3,0.16
4646,1,-0.5
4646,2,0.29
4646,3,-0.31
4648,1,-0.93
4648,2,0.4
4648,3,0.41
4649,1,0.33
4649,2,0.89
4649,3,0.64
4651,1,0.44
4651,2,0.49
4651,3,0.44
4657,1,1.16
4657,2,-1.27
4657,3,-0.25
4658,1,-0.32
4658,2,0.23
4658,3,0.33
4659,1,0
4659,2,-0.32
4659,3,0.48
4661,1,-0.21
4661,2,0.56
4661,3,-0.04
4662,1,-0.72
4662,2,1.9
4662,3,0.4
4665,1,0.89
4665,2,0.46
4665,3,-0.25
4669,1,0.26
4669,2,0.8
4669,3,0.71
4676,1,-0.15
4676,2,-0.25
4676,3,0.26
4677,1,0.49
4677,2,0.48
4677,3,0.14
4679,1,0.75
4679,2,0.41
4679,3,0.17
4681,1,0.21
4681,2,0.01
4681,3,0.74
4699,1,-0.37
4699,2,0.55
4699,3,1.06
4701,1,0.57
4701,2,1.97
4701,3,0.25
4704,1,-0.21
4704,2,-0.2
4704,3,1.1
4705,1,-0.19
4705,2,0.06
4705,3,-0.42
4707,1,0.43
4707,2,-0.12
4707,3,0.58
4717,1,1
4717,2,0.76
4717,3,-0.17
4720,1,0.55
4720,2,0.27
4720,3,0.49
4726,1,0.6
4726,2,-0.65
4726,3,0.44
4727,1,-0.38
4727,2,-0.31
4727,3,-0.02
4728,1,0.17
4728,2,0.7
4728,3,-0.24
4729,1,-0.9
4729,2,-0.67
4729,3,-0.09
4730,1,-0.01
4730,2,0.34
4730,3,-0.36
4731,1,-1.24
4731,2,-0.07
4731,3,-0.47
4734,1,-0.18
4734,2,1.22
4734,3,0.09
4736,1,-0.1
4736,2,0.52
4736,3,0.53
4738,1,-0.74
4738,2,-0.94
4738,3,0.36
4742,1,0.72
4742,2,0.93
4742,3,-0.4
4747,1,-1.05
4747,2,-0.3
4747,3,0.21
4763,1,0.36
4763,2,-0.46
4763,3,0.54
4765,1,-0.37
4765,2,0.39
4765,3,-0.42
4766,1,0.13
4766,2,-0.06
4766,3,1.46
4767,1,1.15
4767,2,1.34
4767,3,-0.42
4768,1,1.41
4768,2,1.3
4768,3,0.06
4772,1,-0.32
4772,2,0.04
4772,3,0.15
4773,1,0.32
4773,2,-0.34
4773,3,0.49
4779,1,-0.46
4779,2,-0.37
4779,3,-0.06
4780,1,0.61
4780,2,-0.33
4780,3,0.06
4781,1,0.44
4781,2,1.01
4781,3,-0.14
4784,1,-0.4
4784,2,0.29
4784,3,-0.1
4786,1,-0.18
4786,2,0.99
4786,3,-0.21
4787,1,-0.05
4787,2,1.41
4787,3,-0.33
4788,1,1.15
4788,2,-0.65
4788,3,-0.19
4789,1,0.5
4789,2,0.39
4789,3,0.8
4791,1,0.58
4791,2,-0.09
4791,3,0.11
4792,1,0.8
4792,2,0.66
4792,3,-0.26
4793,1,-0.92
4793,2,-0.59
4793,3,-0.17
4794,1,0.23
4794,2,-0.38
4794,3,0.09
4795,1,-0.68
4795,2,-0.39
4795,3,0.49
4797,1,-0.9
4797,2,-0.17
4797,3,0.11
4798,1,0.69
4798,2,0.41
4798,3,0.17
4802,1,1.38
4802,2,-1.05
4802,3,1.04
4803,1,0.25
4803,2,-0.82
4803,3,-0.09
4805,1,1.51
4805,2,0.03
4805,3,-0.61
4806,1,-0.43
4806,2,-1.79
4806,3,0.1
4807,1,0.96
4807,2,-0.33
4807,3,0.13
4808,1,0.29
4808,2,-1.15
4808,3,-0.01
4813,1,0.08
4813,2,1.4
4813,3,0.08
4823,1,0.13
4823,2,-1
4823,3,-0.06
4824,1,0.36
4824,2,-1
4824,3,-0.5
4825,1,-0.19
4825,2,0.03
4825,3,0.61
4828,1,1.19
4828,2,-0.79
4828,3,0.2
4838,1,0.5
4838,2,-0.64
4838,3,0.27
4841,1,-0
4841,2,0.14
4841,3,0.57
4842,1,0.14
4842,2,1.2
4842,3,-0.26
4843,1,0.5
4843,2,1.28
4843,3,0.69
4844,1,0.75
4844,2,0.56
4844,3,0.35
4853,1,0.96
4853,2,-0.54
4853,3,0.34
4854,1,-0.19
4854,2,-0.05
4854,3,0.12
4886,1,-0.35
4886,2,-0.25
4886,3,1
4909,1,0.44
4909,2,0.57
4909,3,-0.63
4910,1,-0.52
4910,2,0.13
4910,3,-0.1
4911,1,0.31
4911,2,-0.4
4911,3,0.36
4913,1,-0.36
4913,2,0.18
4913,3,1.01
4916,1,0.8
4916,2,-0.47
4916,3,0
4917,1,-0.28
4917,2,0.85
4917,3,0.16
4920,1,-0.74
4920,2,1.32
4920,3,-0.5
4921,1,0.16
4921,2,1.25
4921,3,-0.01
4925,1,-0.1
4925,2,0.08
4925,3,-0.29
4927,1,-0.66
4927,2,-0.75
4927,3,0.07
4932,1,-1.16
4932,2,-0.7
4932,3,-1.32
4933,1,-0.77
4933,2,0.91
4933,3,0.34
4934,1,-0.52
4934,2,-0.22
4934,3,0.1
4936,1,-1.24
4936,2,1.1
4936,3,0.22
4937,1,-0.32
4937,2,-0.17
4937,3,-0.46
4938,1,1.14
4938,2,0.55
4938,3,0.16
4940,1,1.2
4940,2,0.82
4940,3,0.24
4941,1,-0.36
4941,2,-0.28
4941,3,0.02
4942,1,-0.32
4942,2,-0.52
4942,3,0.21
4945,1,1.08
4945,2,-0.49
4945,3,-0.1
4946,1,0.3
4946,2,0.23
4946,3,-0.39
4952,1,0.26
4952,2,-0.86
4952,3,-0.09
4953,1,-0.98
4953,2,-0.54
4953,3,-0.02
4957,1,-0.54
4957,2,0.25
4957,3,-0.07
4958,1,1
4958,2,-0.46
4958,3,-0.18
4961,1,0.02
4961,2,-0.25
4961,3,-0.33
4979,1,0.14
4979,2,-0.93
4979,3,0.48
4980,1,-0.6
4980,2,0.11
4980,3,0.36
4981,1,0.63
4981,2,0.39
4981,3,0.39
4984,1,-0.14
4984,2,0.26
4984,3,0.18
4986,1,0.24
4986,2,-0.19
4986,3,-0.17
4987,1,-0.33
4987,2,0.85
4987,3,-0.33
4989,1,0.89
4989,2,1.02
4989,3,-0.04
4990,1,0.04
4990,2,-0.37
4990,3,-0.56
4993,1,-0.09
4993,2,0.45
4993,3,-0.47
5009,1,-0.31
5009,2,0.2
5009,3,0.14
5016,1,-0.02
5016,2,-0.26
5016,3,-0.11
5017,1,-0.63
5017,2,-0.06
5017,3,-0.4
5018,1,0.56
5018,2,-0.02
5018,3,0.17
5020,1,0.19
5020,2,0.79
5020,3,-0.04
5022,1,-0.46
5022,2,0.07
5022,3,-0.24
5024,1,-0.33
5024,2,-0.19
5024,3,0.21
5025,1,-0.08
5025,2,0.45
5025,3,-0.26
5026,1,-0.49
5026,2,0.15
5026,3,0.64
5027,1,1.05
5027,2,0.67
5027,3,-0.42
5030,1,0.79
5030,2,0.89
5030,3,0.11
5031,1,0.6
5031,2,0.59
5031,3,0.76
5033,1,0.21
5033,2,-0.01
5033,3,-1.05
5034,1,0.9
5034,2,0.79
5034,3,-0.45
5035,1,0.05
5035,2,0.65
5035,3,0.45
5040,1,-0.4
5040,2,-1.57
5040,3,0.49
5043,1,0.55
5043,2,-0.52
5043,3,-0.36
5044,1,1.19
5044,2,0.71
5044,3,0.11
5046,1,-0.79
5046,2,0.05
5046,3,0.58
5047,1,-1.69
5047,2,0.76
5047,3,0.28
5055,1,0.88
5055,2,-0
5055,3,-0.28
5061,1,-0.23
5061,2,0.26
5061,3,0.48
5065,1,-1.06
5065,2,-0.03
5065,3,-0.36
5067,1,-0.09
5067,2,0.06
5067,3,0.06
5068,1,0.13
5068,2,0.15
5068,3,-0.2
5078,1,0.99
5078,2,-0.63
5078,3,-0.23
5081,1,-0.06
5081,2,-0.33
5081,3,-0.07
5082,1,-0.34
5082,2,1.03
5082,3,0.22
5083,1,-0.89
5083,2,0.15
5083,3,0.35
5084,1,-0.43
5084,2,-0.22
5084,3,-0.03
5093,1,-0.33
5093,2,-0.68
5093,3,0.62
5094,1,0.57
5094,2,-0.09
5094,3,0.52
5096,1,0.69
5096,2,-0.14
5096,3,-0.2
5098,1,0.2
5098,2,0.1
5098,3,0.07
5099,1,0.7
5099,2,1.38
5099,3,0.16
5101,1,-0.59
5101,2,0.7
5101,3,-0.18
5103,1,0.94
5103,2,-0.06
5103,3,0.39
5104,1,-0.78
5104,2,0.73
5104,3,0.06
5105,1,0.99
5105,2,0.65
5105,3,0.28
5107,1,-0.01
5107,2,-0.16
5107,3,0.65
5108,1,-0.54
5108,2,0.29
5108,3,-0.36
5119,1,0.07
5119,2,-0.97
5119,3,0.01
5120,1,-0.78
5120,2,0.61
5120,3,0.06
5123,1,-0.42
5123,2,-0.17
5123,3,0.25
5131,1,-0.53
5131,2,1.87
5131,3,0.18
5135,1,-1.12
5135,2,-0.38
5135,3,-0.14
5136,1,-0.68
5136,2,0.64
5136,3,-0.6
5137,1,1.05
5137,2,0.25
5137,3,0.17
5138,1,-0.17
5138,2,0.2
5138,3,-0.28
5140,1,0.47
5140,2,-0.93
5140,3,0.56
5142,1,-0.03
5142,2,-1.74
5142,3,0.93
5143,1,1.27
5143,2,-0.2
5143,3,-0.25
5144,1,0.43
5144,2,-0.93
5144,3,0.29
5149,1,-0.39
5149,2,0.85
5149,3,-0.05
5150,1,-0.35
5150,2,1.07
5150,3,0.33
5152,1,-0.66
5152,2,-0.03
5152,3,-0.25
5154,1,0.11
5154,2,-0.23
5154,3,-0.54
5157,1,0.13
5157,2,1.13
5157,3,0.44
5158,1,0.94
5158,2,0.27
5158,3,0.78
5161,1,-0.46
5161,2,-1.71
5161,3,1.66
5165,1,-0.63
5165,2,1.01
5165,3,-0.01
5166,1,0.48
5166,2,0.31
5166,3,0.77
5167,1,-0.6
5167,2,-0.28
5167,3,1.13
5168,1,-0.33
5168,2,0.2
5168,3,0.32
5169,1,-0.11
5169,2,0.07
5169,3,-0.32
5174,1,0.05
5174,2,-0.34
5174,3,-0.28
5178,1,-0.56
5178,2,0.16
5178,3,-0.48
5180,1,-0.01
5180,2,0.09
5180,3,-0.47
5183,1,0.64
5183,2,0.04
5183,3,-0.04
5189,1,-0.89
5189,2,0.76
5189,3,-0.44
